연번,총괄점,지점명,주소,전화번호,데이터 기준일
187,동읍농협,봉강지점,경남 창원시 의창구 동읍 봉강가술로 6,055-298-1888,2023-07-26
188,동읍농협,자여지점,경남 창원시 의창구 동읍 자여로 81,055-291-3592,2023-07-26
189,동창원농협,남산지점,경남 창원시 의창구 반계로 107,055-294-9100,2023-07-26
190,동창원농협,도계지점,경남 창원시 의창구 원이대로 69번길 30-20,055-277-2855,2023-07-26
191,동창원농협,명곡지점,경남 창원시 의창구 명서로 116번길 22,055-288-4438,2023-07-26
192,동창원농협,본점,경남 창원시 의창구 읍성로 27,055-294-5373,2023-07-26
193,동창원농협,봉림지점,경남 창원시 의창구 대봉로 20,055-277-9560,2023-07-26
194,동창원농협,반송지점,경남 창원시 성산구 원이대로473번길 19-8,055-284-7400,2023-07-26
195,동창원농협,사림지점,경남 창원시 의창구 사림로 130번길 6-7,055-283-4310,2023-07-26
196,동창원농협,소계지점,경남 창원시 의창구 소계로 90번길 3,055-296-4047,2023-07-26
197,동창원농협,창원역지점,경남 창원시 의창구 사화로 17번길 19,055-299-8424,2023-07-26
198,동창원농협,터미널지점,경남 창원시 의창구 창원대로397번길 11,055-283-3036,2023-07-26
199,마산시농협,남마산지점,경남 창원시 마산합포구 현동로 111,055-221-2911,2023-07-26
200,마산시농협,남성동지점,경남 창원시 마산합포구 어시장7길 78,055-244-5774,2023-07-26
201,마산시농협,동마산지점,경남 창원시 마산회원구 3.15대로 735,055-296-2921,2023-07-26
202,마산시농협,무학지점,경남 창원시 마산합포구 고운로 173,055-222-0074,2023-07-26
203,마산시농협,본점,경남 창원시 마산합포구 해안대로 31,055-222-8041,2023-07-26
204,마산시농협,북마산지점,경남 창원시 마산회원구 북성로 117,055-247-1363,2023-07-26
205,마산시농협,산호동지점,경남 창원시 마산합포구 삼호로 49,055-243-9236,2023-07-26
206,마산시농협,신포지점,경남 창원시 마산합포구 해안대로 293,055-242-8053,2023-07-26
207,부산우유농협,도계동지점,경남 창원시 의창구 도계로60번길 13-22,055-277-5311,2023-07-26
208,부산우유농협,회원지점,경남 창원시 마산회원구 북성로 164,055-248-3301,2023-07-26
209,북창원농협,감계지점,경남 창원시 의창구 북면 감계로 110번길 58,055-299-6658,2023-07-26
210,북창원농협,본점,경남 창원시 의창구 북면 천주로 1154,055-298-2014,2023-07-26
211,북창원농협,화천지점,경남 창원시 의창구 북면 천주로 503,055-298-2620,2023-07-26
212,웅동농협,본점,경남 창원시 진해구 웅동로 81,055-552-6540,2023-07-26
213,웅동농협,신항지점,경남 창원시 진해구 안골로 332,055-544-6711,2023-07-26
214,웅동농협,안골포지점,경남 창원시 진해구 신항동로 143,055-552-6790,2023-07-26
215,웅동농협,용원지점,경남 창원시 진해구 용원동로 236,055-552-6547,2023-07-26
216,웅천농협,남문지점,경남 창원시 진해구 남영로 56,055-542-9771,2023-07-26
217,웅천농협,본점,경남 창원시 진해구 웅천중로 65번길 1,055-545-8100,2023-07-26
218,웅천농협,죽곡지점,경남 창원시 진해구 명제로109번길 12,055-545-1991,2023-07-26
219,진동농협,본점,경남 창원시 마산합포구 진동면 삼진의거대로 654,055-271-2021,2023-07-26
220,진동농협,진동지점,경남 창원시 마산합포구 진동면 진동시장길 41,055-271-8608,2023-07-26
221,진북농협,본점,경남 창원시 마산합포구 진북면 지산5길 68,055-271-8052,2023-07-26
222,진전농협,대정지점,경남 창원시 마산합포구 진전면 의산삼일로 14,055-271-0105,2023-07-26
223,진전농협,본점,경남 창원시 마산합포구 진전면 대실로 150,055-271-1005,2023-07-26
224,진해농협,경화지점,경남 창원시 진해구 경화로 37번길 2,055-542-7411,2023-07-26
225,진해농협,본점,경남 창원시 진해구 진해대로 776번길 28,055-542-9101,2023-07-26
226,진해농협,여좌지점,경남 창원시 진해구 여좌남로 77,055-543-7723,2023-07-26
227,진해농협,이동지점,경남 창원시 진해구 충장로 455번길 3,055-551-1102,2023-07-26
228,진해농협,자은지점,경남 창원시 진해구 냉천로 93,055-543-7040,2023-07-26
229,진해농협,충무지점,경남 창원시 진해구 벚꽃로 20,055-542-7583,2023-07-26
230,진해농협,풍호지점,경남 창원시 진해구 풍호로41,055-547-1100,2023-07-26
231,창원시축산농협,마산역지점,경남 창원시 마산회원구 양덕로 193,055-298-3871,2023-07-26
232,창원시축산농협,본점,경남 창원시 의창구 천주로 12번길 46,055-294-3867,2023-07-26
233,창원시축산농협,봉곡동지점,경남 창원시 의창구 봉곡로 111번길 8,055-237-0515,2023-07-26
234,창원시축산농협,산호지점,경남 창원시 마산합포구 산호남로 1,055-241-3871,2023-07-26
235,창원시축산농협,중동지점,경남 창원시 의창구 중동중앙로 41,055-250-5819,2023-07-26
236,창원시축산농협,진해지점,경남 창원시 진해구 진해대로 921번길 4,055-545-0518,2023-07-26
237,창원시축산농협,합포지점,경남 창원시 마산합포구 문화동14길 1,055-248-3867,2023-07-26
238,창원원예농협,공판장지점,경남 창원시 마산회원구 내서읍 유통단지로 33,055-291-8173,2023-07-26
239,창원원예농협,교방동지점,경남 창원시 마산합포구 교방시장 2길 21,055-224-1560,2023-07-26
240,창원원예농협,메트로시티지점,경남 창원시 마산회원구 양덕서로 30,055-294-3808,2023-07-26
241,창원원예농협,본점,경남 창원시 마산회원구 북성로 317,055-255-5172,2023-07-26
242,창원원예농협,유니시티지점,경남 창원시 의창구 평산로 159번길 2,055-544-3031,2023-07-26
243,창원원예농협,중앙지점,경남 창원시 마산합포구 자산삼거리로 3,055-244-3923,2023-07-26
244,창원원예농협,해운동지점,경남 창원시 마산합포구 가포로 5,055-246-5611,2023-07-26
245,창원원예농협,용마지점,경남 마산합포구 합포동6길 8,055-222-8340,2023-07-26
